start	end	text
2043400	2053000	eingeschränkt sind. Ja, die Auflistung der einzelnen Testfälle, das ist eigentlich so das, was hinterher
2053000	2060040	dabei rauskommt und was sich auch immer ganz gut macht im Projekt und Abschlussarbeiten, wenn man
2060040	2068840	kundtut, was hat man denn alles getestet, was, ja, wollte man testen und was war erwartet worden,
2068840	2075960	was tatsächlich ausgekommen. So, und da macht man detaillierte Angaben zu Testrahmen und Teststrategie
2075960	2084120	und zwar für jeden Testfall. Den Zeitplan darf man nicht vergessen, wenn man Tests plant und
2084120	2092320	vorbereitet, eine detaillierte zeitliche Planung ist dazu notwendig, die Termine für die Tests,
2092320	2103400	die Zeiten für Vor- und Nachbereitung. Ja, und so ein Testzeitplan, der gibt eben oder Projektzeitplan,
2103400	2113520	der gibt den Rahmen vor, wann getestet werden soll. Der Testzeitplan, der ist allerdings wesentlich
2113520	2124840	detaillierter als ein Projektzeitplan, der enthält eben spezifische Informationen über Testaktivitäten,
2124840	2135440	die für den Projektablauf an sich noch irrelevant wären, die aber für den Testablauf wichtig sind.
2135440	2143280	So, Zusammenfassung im Testplan, da kann man also sagen, die Ziele, da geht es darum, was soll
2143280	2150200	erreicht werden, beim Umfang, was soll getestet werden, bei den Methoden, wie soll getestet werden,
2150200	2157360	bei den Ressourcen, ja, wer testet, mit welchen Werkzeugen. Ja, und der Zeitplan ist einfach, wann
2157360	2169880	wird getestet und die Verantwortlichkeit, wer ist für was zuständig. So, wenn man getestet hat,
2169880	2177120	hatten wir ja vorhin schon gesagt, da ist es wichtig festzuhalten, was dabei rausgekommen ist
2177120	2183040	und wie mit diesen Ergebnissen weiter umgegangen wird. Das heißt, wir müssen hergehen, erstmal
2183040	2191720	ein Testprotokoll erstellen. Bestandteile dessen ist einerseits, ja, da sollte man sagen, um welchen
2191720	2201080	Testfall handelt es sich bei diesem Protokoll. Wie sieht die Einzeltestfallspezifikation aus?
2201080	2208120	Das kann sein, wenn man da so einen Test hat, da habe ich die Frau Meier als Testkandidatin,
2208120	2217080	also als Person, als Mitarbeiterin, die das neue Produkt testet, die also nicht selbst getestet wird,
2217080	2224880	sondern aktiv selbst testet. Ja, da sollte ich in so einem Protokoll etwas sagen, wer war das,
2224880	2229680	wann war das, wo wurde das durchgeführt. Solche Tests kann man ja im Hause des Kunden machen,
2229680	2235480	sowas kann man aber durchaus auch, ja, vielleicht im Hause der Entwicklungsformer machen. Hängt
2235480	2242880	etwas von den Örtlichkeiten und den Beziehungen zwischen Kunden und Auftragenehmern ab. Ja,
2242880	2251520	gibt es Abhängigkeiten zwischen den Testfällen? Welche Aufgaben hat die also bearbeitet? Das
2251520	2259400	wäre hier noch die Testfälle-Identifikation oder die Einzelfallspezifikation. Welche Voraussetzungen
2259400	2265280	sind an die Umgebung gestellt, in der da getestet wird? Ist das eine normale Büroumgebung? Ist das
2265280	2273520	eine großhafte Umgebung? Oder, ja, je nachdem, wer das ist und was das für eine Applikation ist.
2273520	2277760	Wir haben da auch so eine Applikation im Hause, die wird von Hausmeistern benutzt. Da habe ich
2277760	2284640	mal eine ganz andere Umgebung. Da können Teile von der Software auch mal durchaus im Keller
2284640	2292160	benutzt werden, wenn die da in irgendwelchen Geräten irgendwas ablesen müssen und da eine
2292160	2299840	Software haben, die halt abgelesene Messwerte erfasst oder wo Fehlerberichte mal kurz geschrieben
2299840	2309960	werden. Stichpunkte hier in der Heizung, der Öltank leckt oder irgend sowas. Das kann man unter
2309960	2317600	Umständen dann sofort lokal aufnehmen und ja in das Produkt dann weiter einschließen lassen.
2318560	2327360	Hier ist also gut zu protokollieren, wer hat was wann getestet. So, und diese Protokolle,
2327360	2334400	die werden dann anschließend zusammengefasst in einen Testbericht, da werden die Fehlersituationen
2334400	2351000	beurteilt, die Gesamtsituation kommentiert. Ja, das ist sozusagen das Ergebnis. Die Testmethoden,
2351000	2357720	da haben wir so eine gewisse Palette Blackbox-Test, Whitebox-Test. Da möchte ich hier an dieser
2357720	2380920	Stelle nicht mehr drauf eingehen, sondern hier noch auf unterschiedliche Varianten von Tests
2380920	2389160	eingehen. Mal ganz kurz, und zwar zum einen kann man hergehen, Konfigurationen eines Systems
2389160	2396000	überprüfen und da geht es einfach um die Lauffähigkeit des Systems auf einer Zielplattform.
2396000	2403080	Auf einer Zielplattform, das heißt sie haben irgendwie entwickelt auf ihrem PC und entweder
2403080	2408440	muss das jetzt in einer Arbeitsumgebung stattfinden auf einem größeren Rechner oder aber auch auf einem
2408440	2414080	lokalen Device. Ja, der wichtige Unterschied ist, der meistens ist oder oftmals ist die
2414080	2422240	Entwicklungsplattform ungleich der produktiven Plattform, wo das Produkt benutzt wird. Und da
2422240	2428120	muss man eben sehen, auch wenn man eigentlich auf der Entwicklungsplattform alles so schön rund
2428120	2437560	funktionierend hat, das muss auf der Zielplattform gar nicht so der Fall sein. Ja, was man dann auch
2437560	2444000	testen sollte, ist die Installation, ist eine problemlose Installation auf dem Zielsystem möglich?
2444000	2452920	Wie funktioniert das? Wie bringe ich meine entwickelte Produktfassung auf mein Zielsystem?
2452920	2459800	Geht das über den Play Store oder das ist eine einfache Sache? Bei größeren Rechnersystemen gibt
2459800	2467400	es auch entsprechende Verfahren, aber da muss ich eben schauen, habe ich hier alle Schritte berücksichtigt
2467400	2474200	um mein Produkt hier in Betrieb nehmen zu können. Ja, der Funktionstest, das ist halt der Test erfüllt,
2474200	2480560	das System die Anforderungen laut Anforderungsbeschreibung. Dann haben wir so einen Leistungstest, da
2480560	2488960	geht es ja unter Realbedingungen soweit konstruierbar darum, wie werden die Ressourcen ausgelastet,
2488960	2495240	wie sind die Antwortzeiten, wie ist das Lastverhalten, wenn ich da viele Leute vorsetze,
2495240	2505680	viele Nutzer oder wenn Nutzer viele Transaktionen halt durchführen. So, hier muss man das erwartete
2505680	2511360	Verhalten für jeden Einzelfall genau beschreiben und dann die Abweichungen entsprechend dokumentieren.
2511360	2520480	Ja, Benutzbarkeitstests, hier kann man überprüfen, ist das unter ergonomischen Gesichtspunkten so
2520560	2529040	etwas oder gut verwendbar. Das ist bereits in sehr frühen Entwicklungsphasen, wenn sie so horizontale
2529040	2535400	Prototypen angefertigt haben, bereits möglich. Ja, das könnte ein eigenes Teilprojekt sogar sein,
2535400	2541640	die Software Usability. Wenn man sowas zu einem späten Zeitpunkt macht, dann ist man meistens nur
2541640	2546120	noch in der Lage somarisch zu beurteilen, eben wie vorhin gesagt, weil das Produkt schon sehr
2546120	2553920	weit entwickelt ist und größere Änderungen, dann sehr viel Aufwand durchführen. Ja, Sicherheitstests
2553920	2562520	gegebenenfalls durchführen, je nachdem welche Sicherheitsanforderungen davorliegen. Interoperabilitätstests,
2562520	2571560	damit darunter versteht man so Schnittstellen zu anderen Systemen, gerade bei Kommunikationsprodukten.
2571560	2577680	Ja, und wie sieht denn das aus? Und das vergisst man leicht, wenn so ein größeres Produkt, wo viele
2577680	2585760	daran arbeiten, mal komplett abgeschaltet werden müssen. Also Neustart, wie einfach ist der möglich?
2585760	2592200	Wenn wir jetzt alle für unseren Desktop-PC sitzen, ist das eine Trivialität. Aber wie ist das,
2592200	2597600	wenn ich da jetzt mal 500 User habe, über Deutschland verteilt, ist das dann auch noch
2597600	2605720	so einfach möglich? Sollte man bei einem systematisch durchgeführten Test auch mit
2605720	2612160	berücksichtigen. Ja, und die Regulationstests, das sind also die Tests, wo immer wieder bereits
2612160	2622000	durchgeführte Tests nochmal ausgeführt werden, aber ergänzt um Tests für neue Features, die
2622000	2632400	sollte man immer wieder laufen lassen. So, damit habe ich die Thematik des Tests oder des Testens
2632400	2640920	innerhalb des Software-Engineerings angesprochen. Man könnte zum Thema Software-Engineering oder
2640920	2646560	zum Thema Test innerhalb des Software-Engineerings oder Qualitätssicherung eine eigene
2646560	2651760	Lehrveranstaltung machen und deutlich tiefer drin einsteigen. Hier in dieser Veranstaltung
2651760	2658160	ging es ja darum, den Software-Entwicklungsprozess von den Requirements bis zur Fertigstellung anzusprechen
2658160	2667280	in allen Detailfassetten und da ist das Testen nur eine Facette. Wenn wir uns oder wenn Sie sich mit
2667280	2677000	dem Testen weiter befassen möchten, dann kann man das in so Veranstaltungen, Vertiefungen des
2677000	2684360	Software-Engineerings durchaus machen. Da geht man dann sehr ausführlich darauf ein.
